片名,封面链接,剧照链接,年份,地区,类型,豆瓣评分,时长,导演,编剧,主演,简介,下载地址
2018年高分动作《碟中谍6：全面瓦解》BD国英双语双字,https://extraimage.net/images/2018/09/14/03fad854ddc2dbb4602c0b6d575510e2.jpg,https://lookimg.com/images/2018/11/07/iixNn.jpg,2018,美国,动作/惊悚/冒险,8.2/10 from 247391 users,147分钟,['克里斯托弗·麦奎里 Christopher McQuarrie'], ,"['汤姆·克鲁斯 Tom Cruise', '亨利·卡维尔 Henry Cavill', '文·瑞姆斯 Ving Rhames', '西蒙·佩吉 Simon Pegg', '丽贝卡·弗格森 Rebecca Ferguson', '西恩·哈里斯 Sean Harris', '安吉拉·贝塞特 Angela Bassett', '凡妮莎·柯比 Vanessa Kirby', '米歇尔·莫纳汉 Michelle Monaghan', '韦斯·本特利 Wes Bentley', '费雷德里克·施密特 Frederick Schmidt', '亚历克·鲍德温 Alec Baldwin', '梁杨 Yang Liang', '克里斯托弗·琼勒 Kristoffer Joner', '沃尔夫·布利策 Wolf Blitzer', '拉斐尔·琼勒 Raphael Joner', '安德鲁·卡扎纳夫·平 Andrew Cazanave Pin', '克里斯多夫·德·舒瓦西 Christophe de Choisy', '拉裴尔·德普雷 Raphael Desprez', '让·巴普蒂斯特·菲永 Jean Baptiste Fillon', '马克斯·盖勒 Max Geller', '奥利维尔·体班德 Olivier Huband', '亚历山大·普尔 Alexandre Poole', '阿利克斯·贝纳泽什 Alix Bénézech', '乔伊·安沙 Joey Ansah', '维利贝·托皮奇 Velibor Topic', '格雷厄姆·福克斯 Grahame Fox', '卡斯珀·菲利普森 Caspar Phillipson', '菲恩·乔利 Ffion Jolly', '鲁斯·贝恩 Russ Bain', '奈杰尔·艾伦 Nigel Allen']",有时好意会造成恶果，人反而被自己所造成的结果所困扰。伊桑·亨特（汤姆·克鲁斯）和他的IMF团队（亚历克·鲍德温、西蒙·佩吉、文·瑞姆斯）将在最新的电影《碟中谍6：全面瓦解》中再度回归，他们会与观众们熟悉的盟友（丽贝卡·弗格森、米歇尔·莫娜汉）一起与时间赛跑，应对一次任务中出现的意外。亨利·卡维尔、安吉拉·贝塞特和凡妮莎·柯比也将加入本片的演员阵容，电影制片人克里斯托夫·迈考利将会再度担任导演。,ftp://ygdy8:ygdy8@yg45.dydytt.net:3153/阳光电影www.ygdy8.com.碟中谍6：全面瓦解.BD.720p.国英双语双字.mkv
2018年悬疑惊悚《小小陌生人》BD中英双字幕,https://extraimage.net/images/2018/11/13/e34e2beb03c8cb47ad8ea0423173c0d7.jpg,https://lookimg.com/images/2018/11/15/iScfc.jpg,2018,爱尔兰/英国/法国,悬疑/惊悚,6.0/10 from 81 users,111分钟,['伦尼·阿伯拉罕森 Lenny Abrahamson'],['露辛达·考克森 Lucinda Coxon/莎拉·沃特丝 Sarah Waters'],"['多姆纳尔·格里森 Domhnall Gleeson', '露丝·威尔森 Ruth Wilson', '乔什·迪伦 Josh Dylan', '夏洛特·兰普林 Charlotte Rampling', '威尔·保尔特 Will Poulter', '达伦·肯特 Darren Kent', '凯特·菲利普斯 Kate Phillips', '迪克西 艾格瑞克斯 Dixie Egerickx', '蒂姆· 普莱斯特 Tim Plester', '洛娜·麦克法迪 Lorne MacFadyen', '克里斯·科克森 Chris Coxon']",根据萨拉·沃特斯同名小说改编，讲述衰败的艾尔斯家族遭受神秘病痛折磨，医生法拉第医生(格里森饰)被要求治疗他们，可令法拉第惊讶的是自己和这家人的命运紧密联系在一起。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8416/阳光电影www.ygdy8.com.小小陌生人.BD.720p.中英双字幕.mkv
2018年悬疑《暗数杀人/黑数杀人》BD韩语中字,https://extraimage.net/images/2018/11/13/e8dff8c67ed6f922a51feb6430bf87a9.jpg,https://lookimg.com/images/2018/11/13/iEF5H.jpg,2018,韩国,剧情/犯罪/悬疑,6.6/10 from 1624 users,110分钟,['金泰均 Tae-gyun Kim'],"['郭暻泽 Kyung-Taek Kwak', '金泰均 Tae-gyun Kim']","['金允石 Yoon-suk Kim', '朱智勋 Ji-hun Ju']",影片故事讲述一个变态杀人狂(朱智勋饰)藏匿了7起杀人案，他将和调查这些案件的刑警(金允石饰)展开正面交锋。,ftp://ygdy8:ygdy8@yg45.dydytt.net:6144/阳光电影www.ygdy8.com.暗数杀人.BD.720p.韩语中字.mkv
2018年悬疑动作《低压槽：欲望之城》BD国粤双语中字,https://extraimage.net/images/2018/10/27/33553d1d588a36d193eb95e7673c2c89.jpg,https://lookimg.com/images/2018/11/12/iCwvh.jpg,2018,中国/中国香港,剧情/动作/悬疑/犯罪,4.4/10 from 10167 users,112分钟,['张家辉 Nick Cheung'], ,"['张家辉 Nick Cheung', '徐静蕾 Jinglei Xu', '何炅 Jiong He', '余男 Nan Yu', '苗侨伟 Kiu Wai Miu', '元华 Wah Yuen', '林雪 Suet Lam', '张可颐 Maggie Cheung Ho Yee']",孤城，一座浮华却堕落的罪恶之城，这里充斥着金钱与利益的争夺。然而，在这个亡命之徒的乐园里，仍有少数人坚持着自己心中的正义……警方卧底于秋在上司阿占的运筹帷幄下，多次成功打入当地帮派，斡旋于多方黑色势力之中。于秋在黑帮生活中却好像渐渐迷失自我，他开始怀疑，是否只有“非常”的手段才能主持公正，这让阿占也开始质疑。一次卧底行动中，于秋冒着行动失败的风险和帮派老大激战，结果全体命丧当场。在道德和江湖道义的双重质疑下，于秋选择了自我放逐，他逃离了孤城。然而，于秋内心对惩治罪恶的欲望从未消减，他重整旗鼓回到孤城，而这一次，阿占给他的任务竟然是调查罪恶之城背后最邪恶也最神秘的黑手、人人闻之色变的首脑——“老板”。从一宗离奇的小童绑架案开始，于秋和阿占查出老板的身份和他背后的犯罪网络。神秘的老板控制了商界和黑道，只有毁灭老板才能拯救这座堕落之城。事实上，于秋在追查过程中已经踏入了老板设下的重重圈套。虽然阿占拼死守着法律的底线，老板的势力却渗透了警方权力的高层，于秋渐渐失去了支持，原本要保护的小童也受到生命威胁。在接踵而至的迷局里，坚持正义的于秋好像被推向更深的绝望里……,ftp://ygdy8:ygdy8@yg45.dydytt.net:8350/阳光电影www.ygdy8.com.低压槽：欲望之城.BD.720p.国粤双语中字.mkv
2018年剧情战争《第十二个人》BD中字,https://extraimage.net/images/2018/11/11/c05340e22318b04e361ffd776fb252a2.jpg,http://images2.imagebam.com/78/67/f4/4198161028728694.jpg,2017,挪威,剧情/历史/战争,7.8/10 from 3983 users,135分钟,['哈罗德·兹瓦特 Harald Zwart'],['彼特·斯卡弗兰 Petter Skavlan'],"['乔纳森·莱斯·梅耶斯 Jonathan Rhys Meyers', '托马斯·古勒斯塔德 Thomas Gullestad', '玛丽·布洛克胡斯 Marie Blokhus', '维加·霍尔 Vegar Hoel', '马丁·基弗 Martin Kiefer']","本片根据真实故事改编,第二次大战期间，12名挪威破坏小分队潜入了德国在挪威境内的驻扎港，实施代号为“红色马丁”的破坏计划，11人被捕，第12人得以逃脱，并将秘密文件带回英国……",ftp://ygdy8:ygdy8@yg45.dydytt.net:7349/阳光电影www.ygdy8.com.第十二个人.BD.720p.中字.mkv
2018年剧情动作《法外之王》BD中英双字幕,https://extraimage.net/images/2018/11/10/45756e41f1bb22f6ab01707a5fd9af72.jpg,https://extraimage.net/images/2018/11/10/7d160f688c81d5d42114e696d05b5781.jpg,2018,英国,剧情/动作/传记, ,137分钟,['大卫·马肯兹 David Mackenzie'],['大卫·马肯兹 David Mackenzie'],"['克里斯·派恩 Chris Pine', '亚伦·泰勒-约翰逊 Aaron Taylor-Johnson', '弗洛伦斯·皮尤 Florence Pugh', '比利·豪尔 Billy Howle', '卡兰·马尔韦 Callan Mulvey', '史蒂芬·克里 Steven Cree', 'Lorne MacFadyen']",本片讲述罗伯特·布鲁斯鲜为人知的真实故事。他昔日是战败的贵族，后来不情愿地当上国王，然后在曲折离奇的一年成为法外英雄。为了拯救家人、人民和国家，让中世纪的苏格兰脱离英格兰的暴虐佔领，罗伯特被迫投入战役。他夺得苏格兰国王之位，并召集一批乌合之众，抵抗世界上最强大的军队，而率领这支愤怒的军队的，是凶残的英格兰国王爱德华一世和他喜怒无常的儿子威尔斯亲王。,ftp://ygdy8:ygdy8@yg45.dydytt.net:8349/阳光电影www.ygdy8.com.法外之王.BD.720p.中英双字幕.mkv
2018年高分剧情《我不是药神》HD国语中英双字,https://extraimage.net/images/2018/11/09/1363706dacd2dfcb50bb9b8e2dba6413.jpg,https://lookimg.com/images/2018/11/09/i6NFW.jpg,2018,中国,剧情/喜剧,9.0/10 from 738173 users,117分钟,['文牧野 Muye Wen'],"['韩家女 Jianü Han', '钟伟 Wei Zhong', '文牧野 Muye Wen']","['徐峥 Zheng Xu', '王传君 Chuanjun Wang', '周一围 Yiwei Zhou', '谭卓 Zhuo Tan', '章宇 Yu Zhang', '杨新鸣 Xinming Yang', '王佳佳 Jiajia Wang', '王砚辉 Yanhui Wang', '贾晨飞 Chenfei Jia', '龚蓓苾 Beibi Gong', '宁浩 Hao Ning', '李乃文 Naiwen Li', '岳小军 Xiaojun Yue', '苇青 Qing Wei', '富冠铭 Guanming Fu', '巴拉特·巴蒂 Bharat Bhatia', '喜利图 Keith Shillitoe', '张海艳 Haiyan Zhang', '朱耕佑 Gengyou Zhu']",普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。,ftp://ygdy8:ygdy8@yg45.dydytt.net:7348/阳光电影www.ygdy8.com.我不是药神.HD.1080p.国语中英双字.mp4
2018年爱情喜剧《摘金奇缘》BD中英双字幕,https://extraimage.net/images/2018/11/09/692a560bf1a68904bd57cd13c6d97639.jpg,https://lookimg.com/images/2018/11/09/i6EXQ.jpg,2018,美国,喜剧/爱情,6.6/10 from 11705 users,121分钟,['朱浩伟 Jon M. Chu'], ,"['吴恬敏 Constance Wu', '杨紫琼 Michelle Yeoh', '亨利·戈尔丁 Henry Golding', '嘉玛·陈 Gemma Chan', '奥卡菲娜 Awkwafina', '卢燕 Lisa Lu', '岑勇康 Harry Shum Jr.', '郑肯 Ken Jeong', '水野索诺娅 Sonoya Mizuno', '吴育刚 Chris Pang', '欧阳万成 Jimmy O. Yang', '钱信伊 Ronny Chieng', '瑞米·海依 Remy Hii', '尼科·桑托斯 Nico Santos', '陆思敬 Jing Lusi', '苏慧敏 Carmen Soo', '方展发 Pierre Png', '谢宛谕 Fiona Xie', '维多利亚·洛克 Victoria Loke', '许优美 Janice Koh', '郑花如 Amy Cheng', '许静雯 Chieng Mun Koh', '陈琼华 Kheng Hua Tan', '刘佳镁 Constance Lau', '陈美廪 Selena Tan', '丹尼尔·詹金斯 Daniel Jenkins', '彼得·卡罗尔 Peter Carroll', '查尔斯·格朗斯 Charles Grounds', '陈胤希 Jasmine Chen', '姬丝·阿奎诺 Kris Aquino', '黄苏珊 Susan Wong', '木下众平 Shuhei Kinoshita', '吉娜·格莱尼斯 Kina Grannis', '凯文·关 Kevin Kwan', '卡兰比尔·亨达尔 Karanbir Hundal', '斯蒂芬·杰克 Steph Jack', '纪宝珠 Poh Choo Kee']",纽约土生土长的朱丽秋（吴恬敏 饰）陪拍拖已久的男友杨力（亨利·戈尔丁 饰）回到新加坡参加死党婚礼。丽秋既为首次到亚洲旅行感到兴奋，同时亦因为要拜访杨力的家人而紧张。她在毫无准备的情况下得悉男友一直没有透露的身世……原来杨力不仅是新加坡首富的后人，亦是城中瞩目的“钻石王老 五”。身为女友的丽秋腹背受敌，不单只受到名媛的妒忌，还要面对杨力挑剔的母亲（杨紫琼 饰）阻拦。这一切都证明金钱虽然买不到爱情，却足以令事情变得非常复杂。,ftp://ygdy8:ygdy8@yg45.dydytt.net:8348/阳光电影www.ygdy8.com.摘金奇缘.BD.720p.中英双字幕.mkv
2018年动作喜剧《欧洲攻略》BD国粤双语中字,https://extraimage.net/images/2018/09/14/59515bb9fe1e9da776a2c499f3a3b6dc.jpg,https://lookimg.com/images/2018/11/07/ii4dq.jpg,2018,中国/英国,喜剧/动作/爱情,3.6/10 from 42656 users,100分钟,['马楚成 Jingle Ma'],['小彭'],"['梁朝伟 Tony Leung Chiu Wai', '吴亦凡 Kris Wu', '唐嫣 Yan Tang', '杜鹃 Juan Du', '林子祥 George Lam', '华栖龙 Sergio Deieso', '雅各布 格拉夫 Jakob Philipp Graf', '元秋 Qiu Yuen', '刘家勇 Kar-Yung Lau', '罗莽 Meng Lo', '谢婷婷 Jennifer Tse', '周小飞 Xiaofei Zhou', '林德信 Alex Lam', '陈语安 Katie Chen', '黎烈弓 Cung Le', '杰佳·亚宁 JeeJa Yanin']",《欧洲攻略》是由马楚成执导，梁朝伟、吴亦凡、唐嫣、杜鹃、林子祥等联袂主演的动作电影。影片主要讲述了特工林在风（梁朝伟 饰）与王小姐（唐嫣 饰）多年来亦敌亦友，相互欣赏又互相为敌。上帝右手在CIA被不明身份的苏菲（杜鹃 饰）偷走后，两人同时受CIA委托展开追寻。原本以为只是场谋略较量，但在他们救下顶级黑客洛奇（吴亦凡 饰）后，却发现这背后还隐藏着一个更大的秘密。,ftp://ygdy8:ygdy8@yg45.dydytt.net:8347/阳光电影www.ygdy8.com.欧洲攻略.BD.720p.国粤双语中字.mkv
2018年高分动作《碟中谍6：全面瓦解》HD中英双字幕,https://extraimage.net/images/2018/09/14/03fad854ddc2dbb4602c0b6d575510e2.jpg,https://lookimg.com/images/2018/11/07/iixNn.jpg,2018,美国,动作/惊悚/冒险,8.2/10 from 247391 users,147分钟,['克里斯托弗·麦奎里 Christopher McQuarrie'], ,"['汤姆·克鲁斯 Tom Cruise', '亨利·卡维尔 Henry Cavill', '文·瑞姆斯 Ving Rhames', '西蒙·佩吉 Simon Pegg', '丽贝卡·弗格森 Rebecca Ferguson', '西恩·哈里斯 Sean Harris', '安吉拉·贝塞特 Angela Bassett', '凡妮莎·柯比 Vanessa Kirby', '米歇尔·莫纳汉 Michelle Monaghan', '韦斯·本特利 Wes Bentley', '费雷德里克·施密特 Frederick Schmidt', '亚历克·鲍德温 Alec Baldwin', '梁杨 Yang Liang', '克里斯托弗·琼勒 Kristoffer Joner', '沃尔夫·布利策 Wolf Blitzer', '拉斐尔·琼勒 Raphael Joner', '安德鲁·卡扎纳夫·平 Andrew Cazanave Pin', '克里斯多夫·德·舒瓦西 Christophe de Choisy', '拉裴尔·德普雷 Raphael Desprez', '让·巴普蒂斯特·菲永 Jean Baptiste Fillon', '马克斯·盖勒 Max Geller', '奥利维尔·体班德 Olivier Huband', '亚历山大·普尔 Alexandre Poole', '阿利克斯·贝纳泽什 Alix Bénézech', '乔伊·安沙 Joey Ansah', '维利贝·托皮奇 Velibor Topic', '格雷厄姆·福克斯 Grahame Fox', '卡斯珀·菲利普森 Caspar Phillipson', '菲恩·乔利 Ffion Jolly', '鲁斯·贝恩 Russ Bain', '奈杰尔·艾伦 Nigel Allen']",有时好意会造成恶果，人反而被自己所造成的结果所困扰。伊桑·亨特（汤姆·克鲁斯）和他的IMF团队（亚历克·鲍德温、西蒙·佩吉、文·瑞姆斯）将在最新的电影《碟中谍6：全面瓦解》中再度回归，他们会与观众们熟悉的盟友（丽贝卡·弗格森、米歇尔·莫娜汉）一起与时间赛跑，应对一次任务中出现的意外。亨利·卡维尔、安吉拉·贝塞特和凡妮莎·柯比也将加入本片的演员阵容，电影制片人克里斯托夫·迈考利将会再度担任导演。,ftp://ygdy8:ygdy8@yg45.dydytt.net:3152/阳光电影www.ygdy8.com.碟中谍6：全面瓦解.HD.720p.中英双字幕.mkv
2018年剧情战争《飓风行动》BD中英双字幕,https://extraimage.net/images/2018/11/06/a791329f3f89cd475f7afe72fe6c0afb.jpg,https://lookimg.com/images/2018/11/06/iGFMq.jpg,2018,英国/波兰,剧情/战争,6.3/10 from 135 users,107分钟,['戴维·布莱尔 David Blair'],['Robert Ryan/Alastair Galbraith'],"['伊万·瑞恩 Iwan Rheon', '米洛·吉布森 Milo Gibson', '斯蒂芬妮·马蒂尼 Stefanie Martini', '马辛·多洛辛斯基 Marcin Dorocinski', '克里斯托弗·哈德克 Krystof Hádek', 'Dan Burman', '拉裴尔·德普雷 Raphael Desprez', 'Michel Diercks', '尼古拉斯·法瑞尔 Nicholas Farrell', '萨姆·霍尔 Sam Hoare', '拉多斯劳凯姆 Radoslaw Kaim', 'Michael Keogh', 'Stuart Packer', '罗伯特·波特尔 Robert Portal', '阿德里安·扎仁巴 Adrian Zaremba']",梅尔·吉布森之子米洛·吉布森自在《血战钢锯岭》里献出表演首秀之后，再次加盟二战题材新片《飓风》，出演飞行员约翰尼·肯特。肯特是一名加拿大空军上尉，他在不列颠之战(第二次世界大战期间纳粹德国对英国发动的大规模空战，亦是第二次世界大战中规模最大的空战)中领导一支编号为303的霍克飓风战斗机飞行中队，为抵抗纳粹入侵而奋战，肯特一人击落了13架敌机，并在1935-1956期间服役于英国皇家空军， 被认为是最出色的年轻皇家空军中队长。,ftp://ygdy8:ygdy8@yg72.dydytt.net:8296/阳光电影www.ygdy8.com.飓风行动.BD.720p.中英双字幕.mkv
2018年剧情犯罪《你给的仇恨》HD中英双字幕,https://extraimage.net/images/2018/11/05/83f2fd66d48ce8979d06439adc57f069.jpg,https://lookimg.com/images/2018/11/05/idM4J.jpg,2018,美国,剧情/犯罪,8.0/10 from 530 users,132分钟,['小乔治·提尔曼 George Tillman Jr.'],['奥黛丽·威尔斯 Audrey Wells/Angie Thomas'],"['阿曼德拉·斯坦伯格 Amandla Stenberg', 'K·J·阿帕 K.J. Apa', '雷吉娜·赫尔 Regina Hall', '塞布丽娜·卡彭特 Sabrina Carpenter', '安东尼·麦凯 Anthony Mackie', '科曼 Common', '伊萨·雷 Issa Rae', '罗素·霍恩斯比 Russell Hornsby', '德鲁·斯塔基 Drew Starkey', '阿尔吉·史密斯 Algee Smith', '多米尼克·菲什巴克 Dominique Fishback', '梅根·劳利斯 Megan Lawless', '拉马尔·约翰逊 Lamar Johnson', '凯蕾·里维拉 Kaleigh Rivera', '以利亚·埃弗雷特 Elijah Everett', '大卫·邓斯顿 David Dunston', '阿米切尔 Al Mitchell', '摩西·琼斯 Moses Jones', 'Marcia Wright', 'James Healy Jr.', 'Josh Henry', 'Megan Marie Wilson', 'Shaun McMillan', 'Jacob Evans', 'Brent Moorer Gaskins', 'Mallory Kidwell']",基于Angela Thomas所著同名小说，聚焦种族问题和警察暴行。16岁黑人女主角Starr Carter某天晚上去参加派对，遇到了儿时最好的朋友Khalil，派对之后后者载她回家，两人在路上被一个警察拦下，Khalil被迫下车，随后警察朝徒手的Khalil开枪。此事很快成为全国头条，Khalil被描述为“暴徒、毒贩”，而警察似乎并没有多大兴趣展开调查。 一群抗议者走上街头，将Starr居住的街区变为了战区，大家都尝试弄清楚到底发生了什么，而唯一知道真相的只有Starr，她做了很多采访试图还Khalil清白，她说的话将决定警察是进监狱还是被宣告无罪。,ftp://ygdy8:ygdy8@yg45.dydytt.net:3151/阳光电影www.ygdy8.com.你给的仇恨.HD.720p.中英双字幕.mkv
2018年高分动画喜剧《超人总动员2》BD英国粤三语双字,https://extraimage.net/images/2018/10/23/3207af9a492272d719de72ef6e202db4.jpg,https://lookimg.com/images/2018/11/04/iuJY5.jpg,2018,美国,喜剧/动作/动画/冒险,8.0/10 from 90106 users,118分钟,['布拉德·伯德 Brad Bird'],['布拉德·伯德 Brad Bird'],"['格雷格·T·尼尔森 Craig T. Nelson', '霍利·亨特 Holly Hunter', '莎拉·沃威尔 Sarah Vowell', '赫克·米尔纳 Huck Milner', '伊莱·富西尔 Eli Fucile', '凯瑟琳·基纳 Catherine Keener', '塞缪尔·杰克逊 Samuel L. Jackson', '伊莎贝拉·罗西里尼 Isabella Rossellini', '鲍勃·奥登科克 Bob Odenkirk', '布拉德·伯德 Brad Bird', '索菲亚·布什 Sophia Bush', '乔纳森·班克斯 Jonathan Banks', '约翰·拉岑贝格 John Ratzenberger', '金伯利·阿代尔·克拉克 Kimberly Adair Clark', '托亚·特纳 Toya Turner']",超人家族时隔14年强势回归！这次站在聚光灯下的是弹力女超人海伦（霍利·亨特 配音），超能先生巴鲍勃（格雷格·T·尼尔森 配音）则在家照料巴小倩和巴小飞，过起了“正常人”的居家生活。这一角色转换对于每个家庭成员来说都是艰难的，更何况他们都还没意识到宝宝巴小杰的超能力已经悄然增长。当剧中新反派开始酝酿一个狡诈危险的阴谋，超人家族必须联合酷冰侠（塞缪尔·杰克逊 配音）的力量团结对外——然而即使各自都有超能力，真正做起来却是知易行难。,ftp://ygdy8:ygdy8@yg45.dydytt.net:8344/阳光电影www.ygdy8.com.超人总动员2.BD.720p.英国粤三语双字.mkv
2018年动画喜剧《精灵旅社3：疯狂假期》BD英国粤三语双字,https://extraimage.net/images/2018/09/18/0b79c98c29284727e54ceab7ca013e2f.jpg,https://lookimg.com/images/2018/11/03/ikKZd.jpg,2018,美国,喜剧/动画/奇幻,"6.9/10 from 30,105 users",98分钟,['格恩迪·塔塔科夫斯基 Genndy Tartakovsky'], ,"['亚当·桑德勒 Adam Sandler', '凯瑟琳·哈恩 Kathryn Hahn', '史蒂夫·布西密 Steve Buscemi', '赛琳娜·戈麦斯 Selena Gomez', '阿什·布林克夫 Asher Blinkoff', '梅尔·布鲁克斯 Mel Brooks', '科甘-迈克尔·凯 Keegan-Michael Key', '安迪·萨姆伯格 Andy Samberg', '法兰·德瑞雪 Fran Drescher', '大卫·斯佩德 David Spade', '凯文·詹姆斯 Kevin James', '莫莉·香侬 Molly Shannon', '格恩迪·塔塔科夫斯基 Genndy Tartakovsky', '乔·怀特 Joe Whyte', '克莉丝汀·泰根 Chrissy Teigen', '乔·乔纳斯 Joe Jonas', '吉姆·加菲根 Jim Gaffigan']",德古拉和家人朋友们踏上了一艘邮轮，宿命之敌“吸血鬼猎人”范海辛正在船上布置天罗地网等待“猎物”上门。除了爆笑搞怪，这次的冒险更加惊险刺激而纠结，因为在茫茫大海中，德古拉除了要面对重重家庭阻力、拯救朋友们的压力、也许还有……一个美女?,ftp://ygdy8:ygdy8@yg90.dydytt.net:8412/阳光电影www.ygdy8.com.精灵旅社3：疯狂假期.BD.720p.英国粤三语双字.mkv
2018年高分奇幻《与神同行：罪与罚》BD韩粤双语中字,https://extraimage.net/images/2018/11/02/f237b237e8da3ecad2c617a9116e43d8.jpg,https://lookimg.com/images/2018/11/02/iKkaQ.jpg,2017,韩国,剧情/奇幻,7.7/10 from 103419 users,139分钟,['金容华 Yong-hwa Kim'],['金容华 Yong-hwa Kim'],"['河正宇 Jung-woo Ha', '车太贤 Tae-hyun Cha', '朱智勋 Ji-hun Ju', '金香奇 Hyang-ki Kim', '金东旭 Dong-wook Kim', '芮秀贞 Ye Soo-jung', '李政宰 Jung-Jae Lee', '吴达洙 Dal-su Oh', '林元熙 Won-hie Lim', '都暻秀 Kyung-soo Doh', '张光 Gwang Jang', '郑海钧 Hae-kyun Jung', '金荷娜 Ha-Neul Kim', '金海淑 Hae-suk Kim', '金秀安 Soo-an Kim', '马东锡 Tong-Seok Ma']",阴间有法，所有亡者在死后的49天内都要经过七次审判——分别在杀人狱、懒惰狱、欺骗狱、不义狱、背叛狱、暴力狱、天伦狱中进行，只有通过了七次审判宣告无罪的亡者，才有获得新生的机会。消防员金子洪在一场火灾当中为了救一名女孩而不幸牺牲。地狱使者解怨脉和德春出现在了金子洪的面前。尽管金子洪无法相信自己的死亡，却被德春一脸严肃地告知自己既是亡者、又是贵人。在通往地狱的入口，金子洪遇到了在初军门等着自己的另一位使者江林。他掌管着解怨脉和德春两位使者，同时也将在子洪即将接受的七次审判中为子洪进行辩护。原来倘若阎罗大王在1000年内令49位亡者得以往生，三位使者也可以重新投胎至凡间。他们相信第48位亡者——19年来出现的这位贵人金子洪是可以顺利重获新生的。然而在各地狱里，金子洪的过去接二连三地出现，原来这位贵人也依然有“不能说的秘密”。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8411/阳光电影www.ygdy8.com.与神同行：罪与罚.BD.720p.韩粤双语中字.mkv
2018年高分奇幻《与神同行2：因与缘》BD韩语中英双字,https://extraimage.net/images/2018/09/19/a88b8ed84654ede5d16540b7e9ddd544.jpg,https://lookimg.com/images/2018/11/02/iKgtq.jpg,2018,韩国,动作/奇幻,"7.6/10 from 2,921 users",142分钟,['金容华 Yong-hwa Kim'], ,"['河正宇 Jung-woo Ha', '朱智勋 Ji-hun Ju', '马东锡 Tong-Seok Ma', '金香起 Hyang-ki Kim', '李政宰 Jung-Jae Lee', '赵汉哲 Han-chul Jo', '金明坤 Myung-gon Kim', '金东旭 Dong-wook Kim', '郑惟安 Yoo-ahn Jung', '都暻秀 Kyung-soo Doh']",故事接上集，为了完成阎罗王（李政宰 饰）开出的条件，解怨脈（朱智勋 饰）与德春（金香起 饰）与凶悍的城主神（马东锡 饰）展开决斗。江林（河正宇 饰）也力劝一等兵（都暻秀 饰）公开秀鸿意外死亡的真相，就在阴间使者们试图完成任务的同时，千年前，他们生前的悲剧也将被逐一揭开…,ftp://ygdy8:ygdy8@yg45.dydytt.net:8342/阳光电影www.ygdy8.com.与神同行2：因与缘.BD.720p.韩语中英双字.mkv
2018年悬疑恐怖《修女/招魂外传》BD中英双字幕,https://extraimage.net/images/2018/11/02/79be7dc8e6433dda7552095affb38cdf.jpg,https://lookimg.com/images/2018/11/02/iKOTn.jpg,2018,美国,悬疑/惊悚/恐怖,6.1/10 from 4546 users,96分钟,['科林·哈迪 Corin Hardy'],['加里·多伯曼 Gary Dauberman/温子仁 James Wan'],"['德米安·比齐尔 Demián Bichir', '泰莎·法米加 Taissa Farmiga', '乔纳斯·布洛凯 Jonas Bloquet', '邦妮·阿伦斯 Bonnie Aarons', '英格丽·比苏 Ingrid Bisu', '夏洛特·霍普 Charlotte Hope', '桑德拉·特蕾丝 Sandra Teles', '奥古斯特·马图洛 August Maturo', '迈克尔·史麦利 Michael Smiley', '大卫·霍罗维奇 David Horovitch', '丽丽·博尔丹 Lili Bordán', '斯嘉丽·希克斯 Scarlett Hicks', '丽兹·科菲 Izzie Coffey', '迪·布拉雷·贝克尔 Dee Bradley Baker', '黛布拉·威尔逊 Debra Wilson', '马克·斯达格 Mark Steger', '莉迪亚·科洛科 Lidiya Korotko', '艾玛·阿普尔顿 Emma Appleton', '约翰尼·科瓦内 Jonny Coyne', 'Daniel Mandehr', '西蒙·瑞 Simon Rhee', '桑德拉·罗斯科 Sandra Rosko']",一个年轻修女在罗马尼亚与世隔绝的修道院自杀，梵蒂冈派去一名神父和一名快结束见习期的修女展开调查，而神父有令人毛骨悚然的过去。他们一起揭开了教会邪恶的秘密，不仅冒着生命危险，还拿信仰和灵魂当赌注，面临着一股恶毒的力量，恶魔修女再次成为强大的威胁。,ftp://ygdy8:ygdy8@yg45.dydytt.net:7342/阳光电影www.ygdy8.com.修女.HD.720p.韩版中英双字幕.mkv
